tempo,key,mode,loudness,time_signature,duration_ms,danceability,acousticness,speechiness,liveness,energy,instrumentalness,valence
107.525,2.0,1.0,-17.575,4.0,293813.0,0.527,0.868,0.0481,0.0837,0.109,7.93e-05,0.214
137.852,9.0,1.0,-7.569,4.0,253154.0,0.556,0.839,0.0279,0.0661,0.401,1.53e-05,0.462
71.585,9.0,1.0,-8.88,4.0,333629.0,0.309,0.672,0.0363,0.0896,0.434,0.0,0.427
74.008,8.0,1.0,-6.961,4.0,278914.0,0.55,0.769,0.0268,0.0911,0.543,0.0,0.35
136.328,10.0,1.0,-11.961,4.0,320166.0,0.425,0.873,0.0373,0.111,0.201,0.0,0.267
129.814,6.0,1.0,-5.694,4.0,239795.0,0.547,0.4,0.0393,0.144,0.666,0.0,0.43
92.054,4.0,1.0,-8.247,4.0,289604.0,0.521,0.786,0.0317,0.105,0.471,0.0,0.269
134.003,8.0,0.0,-6.8,4.0,253995.0,0.592,0.637,0.0318,0.116,0.521,0.0,0.161
122.71,5.0,1.0,-7.161,4.0,236133.0,0.497,0.671,0.0276,0.155,0.49,0.000417,0.126
140.112,2.0,1.0,-6.485,4.0,265867.0,0.462,0.226,0.0262,0.196,0.465,7.7e-06,0.409
169.267,0.0,1.0,-7.223,4.0,318499.0,0.335,0.948,0.0331,0.0619,0.326,0.0,0.326
182.842,11.0,1.0,-10.678,4.0,261250.0,0.53,0.399,0.0472,0.113,0.432,7.81e-06,0.186
136.02,4.0,1.0,-8.391,4.0,258866.0,0.551,0.237,0.0307,0.165,0.403,0.0,0.162
75.168,9.0,1.0,-8.979,4.0,322267.0,0.358,0.856,0.0316,0.0971,0.391,0.00232,0.284
150.018,4.0,1.0,-10.962,4.0,256000.0,0.522,0.714,0.0285,0.106,0.383,1.67e-05,0.332
143.86,10.0,1.0,-7.869,4.0,334240.0,0.507,0.613,0.0279,0.11,0.402,8.85e-06,0.124
78.011,0.0,1.0,-3.697,4.0,346282.0,0.488,0.0119,0.0277,0.0825,0.602,0.0,0.225
